id_r,id_q,r_scale,q_scale,success_rate,mean_steps_success,mean_rmse_gnss_xy,mean_rmse_ekf_xy,mean_smoothness_xy,mean_theta_err,cost_score,stage,quality_score
1,1,0.2,1.1,1,565.666666666667,0.715708113756493,0.164628694298066,0.0631808303284884,0.122596896483541,0.202537192495159,fine,0.831575111556498
1,2,0.2,1.14166666666667,1,583,0.72270241973131,0.169485992936562,0.061561541101184,0.128874271309564,0.206422917597273,fine,0.828896720556016
1,3,0.2,1.18333333333333,1,553,0.700273042287447,0.14033791060839,0.0618823130800856,0.107413657308294,0.177467298456441,fine,0.849280486439763
1,4,0.2,1.225,1,554,0.716523441345372,0.169152907770207,0.0622787396083437,0.125156950987192,0.206520151535213,fine,0.828829919440276
1,5,0.2,1.26666666666667,1,575.666666666667,0.697873095869477,0.164064732946765,0.0597484457299055,0.137489830142928,0.199913800384708,fine,0.83339319847758
1,6,0.2,1.30833333333333,1,565,0.724162673295734,0.158752063773724,0.0612845641955452,0.133107915668987,0.195522802291051,fine,0.836454142140694
1,7,0.2,1.35,1,535.333333333333,0.699314482480432,0.149118486338534,0.0619898953587833,0.104155847305501,0.186312423553804,fine,0.842948265689005
1,8,0.2,1.39166666666667,1,568.333333333333,0.71775741416122,0.168773037626314,0.0603176166985466,0.132065793876536,0.204963607645442,fine,0.829900582602697
1,9,0.2,1.43333333333333,1,559,0.712599792997434,0.162511254429796,0.06017455307843,0.126464079513021,0.198615986276854,fine,0.834295563757834
2,1,0.25,1.1,1,594,0.705539665115513,0.176231337286823,0.0631850554386321,0.174196018432236,0.214142370550002,fine,0.823626639062933
2,2,0.25,1.14166666666667,1,570,0.709216285866166,0.154136695679782,0.0637606507651553,0.114691793297673,0.192393086138875,fine,0.838649612803552
2,3,0.25,1.18333333333333,1,572,0.717964964988474,0.163462470693163,0.0642753839675462,0.117904290928611,0.202027701073691,fine,0.831927582955673
2,4,0.25,1.225,1,594.666666666667,0.706083718648426,0.169113910394956,0.0620138435063248,0.144472341059094,0.206322216498751,fine,0.828965915012671
2,5,0.25,1.26666666666667,1,570,0.715593116635124,0.164414416312534,0.0630746493703891,0.124730795567337,0.202259205934767,fine,0.831767388482995
2,6,0.25,1.30833333333333,1,569,0.707767315082881,0.164533089664864,0.06243966667948,0.122462812496346,0.201996889672552,fine,0.831948908180969
2,7,0.25,1.35,1,562,0.716336151938009,0.162290563982242,0.0633819530268295,0.124641433126381,0.20031973579834,fine,0.833111353730174
2,8,0.25,1.39166666666667,1,582.333333333333,0.714171888023115,0.1665124719703,0.0615911188593692,0.130918310095521,0.203467143285922,fine,0.830932531543504
2,9,0.25,1.43333333333333,1,589.666666666667,0.716722651220605,0.17080149521955,0.0613476003830229,0.147499003719132,0.207610055449364,fine,0.828081875840202
3,1,0.3,1.1,1,575.666666666667,0.69824326378013,0.164727759333294,0.066530790491316,0.1294213700552,0.204646233628083,fine,0.830119226777689
3,2,0.3,1.14166666666667,1,586,0.722290889806493,0.170733786030054,0.0664589756599315,0.143952340213351,0.210609171426013,fine,0.826030418076273
3,3,0.3,1.18333333333333,1,580,0.703542539590425,0.168548754626717,0.0650006906753325,0.136779441644157,0.207549169031916,fine,0.828123628954747
